source_demo,framework,noise_levels,values,mean_value,min_value,max_value,degradation_slope,interpretation
Demo 13,qiskit,"[0, 0.02, 0.05, 0.1, 0.2]","[0.01866666666666661, -0.0020000000000000018, 0.007333333333333303, 0.025333333333333347, -0.01799999999999996]",0.006266666666666659,-0.01799999999999996,0.025333333333333347,-0.11985370950888159,Expectation-value drift under depolarizing noise benchmark.
Demo 13,cirq,"[0, 0.02, 0.05, 0.1, 0.2]","[0.0, -0.011999999999999995, -0.02266666666666669, 0.004000000000000001, -0.018000000000000002]",-0.009733333333333339,-0.02266666666666669,0.004000000000000001,-0.038087774294670855,Expectation-value drift under depolarizing noise benchmark.
Demo 13,pennylane,"[0, 0.02, 0.05, 0.1, 0.2]","[1.3877787807814457e-17, 1.3877787807814457e-17, 1.3877787807814457e-17, 2.7755575615628914e-17, -2.7755575615628914e-17]",8.326672684688674e-18,-2.7755575615628914e-17,2.7755575615628914e-17,-1.9141776286640639e-16,Expectation-value drift under depolarizing noise benchmark.
