observable,cross_framework_deviation,qiskit,cirq,pennylane
Z0,0.7071067811865474,0.0,0.7071066929541701,0.7071067811865474
Z1,0.7071067811865474,0.7071067811865474,0.0,0.0
ZZ,0.0,0.0,0.0,0.0
XX,2.4732565662155537e-08,0.7071067811865474,0.7071067564539817,0.7071067811865469
