source_demo,noise_level,cross_framework_deviation
Demo 13,0,0.01866666666666661
Demo 13,0.02,0.012000000000000009
Demo 13,0.05,0.029999999999999992
Demo 13,0.1,0.02533333333333332
Demo 13,0.2,0.017999999999999974
